Country,Job Title,Age,Quantity,Percentage
Austria,No Full-Time Job,25,2.0,0.05%
Belgium,No Full-Time Job,26,2.0,0.05%
Belgium,No Full-Time Job,30,2.0,0.05%
Denmark,No Full-Time Job,31,2.0,0.05%
Netherlands,No Full-Time Job,61,2.0,0.05%
Denmark,No Full-Time Job,33,2.0,0.05%
Sweden,No Full-Time Job,27,2.0,0.05%
Bulgaria,No Full-Time Job,34,2.0,0.05%
Bulgaria,No Full-Time Job,31,2.0,0.05%
Belgium,No Full-Time Job,51,2.0,0.05%
Belgium,No Full-Time Job,47,2.0,0.05%
Belgium,No Full-Time Job,46,2.0,0.05%
Belgium,No Full-Time Job,45,2.0,0.05%
Belgium,No Full-Time Job,31,2.0,0.05%
Austria,No Full-Time Job,27,2.0,0.05%
Slovakia,No Full-Time Job,49,2.0,0.05%
Belgium,No Full-Time Job,44,2.0,0.05%
Belgium,No Full-Time Job,43,2.0,0.05%
Belgium,No Full-Time Job,32,2.0,0.05%
Sweden,No Full-Time Job,26,2.0,0.05%
Denmark,No Full-Time Job,14,2.0,0.05%
Denmark,No Full-Time Job,17,2.0,0.05%
Slovakia,No Full-Time Job,35,2.0,0.05%
United Kingdom,Data Coordinator,37,1.0,0.02%
United Kingdom,Data Coordinator,41,1.0,0.02%
United Kingdom,Data Coordinator,46,1.0,0.02%
United Kingdom,Data Coordinator,29,1.0,0.02%
Sweden,No Full-Time Job,21,1.0,0.02%
Sweden,Oracle Database Administrator (Oracle DBA),35,1.0,0.02%
Sweden,No Full-Time Job,30,1.0,0.02%
Sweden,No Full-Time Job,65,1.0,0.02%
Sweden,No Full-Time Job,61,1.0,0.02%
Sweden,No Full-Time Job,57,1.0,0.02%
Sweden,No Full-Time Job,53,1.0,0.02%
Sweden,No Full-Time Job,52,1.0,0.02%
Sweden,No Full-Time Job,49,1.0,0.02%
Sweden,No Full-Time Job,46,1.0,0.02%
Sweden,No Full-Time Job,43,1.0,0.02%
Sweden,No Full-Time Job,41,1.0,0.02%
United Kingdom,Data Entry Representative,41,1.0,0.02%
Sweden,No Full-Time Job,35,1.0,0.02%
Sweden,No Full-Time Job,33,1.0,0.02%
Sweden,No Full-Time Job,29,1.0,0.02%
United Kingdom,Data Entry Machine Operator,45,1.0,0.02%
Slovakia,Data Scientist,49,1.0,0.02%
United Kingdom,Data Reviewer,31,1.0,0.02%
United Kingdom,Data Reviewer,34,1.0,0.02%
Poland,Data Warehouse Analyst,42,1.0,0.02%
Poland,Data Warehouse Analyst,40,1.0,0.02%
Poland,Data Warehouse Analyst,38,1.0,0.02%
Poland,Data Warehouse Analyst,25,1.0,0.02%
Poland,Data Scientist,55,1.0,0.02%
Poland,Data Scientist,54,1.0,0.02%
Poland,Data Reviewer,41,1.0,0.02%
Poland,Data Entry Representative,45,1.0,0.02%
Poland,Data Coordinator,53,1.0,0.02%
Poland,Data Coordinator,47,1.0,0.02%
United Kingdom,Database Modeler,55,1.0,0.02%
United Kingdom,Geographic Information Systems Data Manager (GIS Data Manager),32,1.0,0.02%
Poland,Data Coordinator,35,1.0,0.02%
United Kingdom,Geographic Information Systems Data Manager (GIS Data Manager),37,1.0,0.02%
United Kingdom,Geographic Information Systems Data Manager (GIS Data Manager),49,1.0,0.02%
United Kingdom,Geographic Information Systems Data Manager (GIS Data Manager),53,1.0,0.02%
Poland,Data Coordinator,30,1.0,0.02%
Poland,Clinical Data Abstractor,40,1.0,0.02%
Poland,Clinical Data Abstractor,21,1.0,0.02%
Netherlands,Oracle Database Administrator (Oracle DBA),58,1.0,0.02%
Netherlands,Oracle Database Administrator (Oracle DBA),43,1.0,0.02%
Netherlands,Oracle Database Administrator (Oracle DBA),27,1.0,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),20,1.0,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),30,1.0,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),40,1.0,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),45,1.0,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),53,1.0,0.02%
United Kingdom,Database Modeler,53,1.0,0.02%
Poland,Data Warehouse Analyst,50,1.0,0.02%
Poland,Data Warehouse Analyst,51,1.0,0.02%
United Kingdom,Data Warehouse Analyst,42,1.0,0.02%
United Kingdom,Data Scientist,22,1.0,0.02%
United Kingdom,Data Scientist,29,1.0,0.02%
United Kingdom,Data Scientist,30,1.0,0.02%
United Kingdom,Data Scientist,35,1.0,0.02%
United Kingdom,Data Scientist,36,1.0,0.02%
United Kingdom,Data Scientist,45,1.0,0.02%
United Kingdom,Data Scientist,50,1.0,0.02%
United Kingdom,Data Scientist,59,1.0,0.02%
United Kingdom,Data Warehouse Analyst,26,1.0,0.02%
United Kingdom,Data Warehouse Analyst,30,1.0,0.02%
United Kingdom,Data Warehouse Analyst,34,1.0,0.02%
United Kingdom,Data Warehouse Analyst,39,1.0,0.02%
United Kingdom,Data Warehouse Analyst,50,1.0,0.02%
Poland,Database Modeler,25,1.0,0.02%
United Kingdom,Data Warehouse Analyst,52,1.0,0.02%
United Kingdom,Data Warehouse Analyst,60,1.0,0.02%
United Kingdom,Database Modeler,36,1.0,0.02%
United Kingdom,Database Modeler,46,1.0,0.02%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),47,1.0,0.02%
United Kingdom,Database Modeler,50,1.0,0.02%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),32,1.0,0.02%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),31,1.0,0.02%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),30,1.0,0.02%
Poland,Database Modeler,54,1.0,0.02%
Poland,Database Modeler,45,1.0,0.02%
Poland,Database Modeler,28,1.0,0.02%
United Kingdom,Database Modeler,28,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),28,1.0,0.02%
Sweden,Geographic Information Systems Data Manager (GIS Data Manager),41,1.0,0.02%
Slovenia,Database Modeler,29,1.0,0.02%
Romania,Data Coordinator,41,1.0,0.02%
Romania,Data Entry Representative,40,1.0,0.02%
Romania,Data Warehouse Analyst,28,1.0,0.02%
Romania,Data Warehouse Analyst,50,1.0,0.02%
Romania,Database Modeler,27,1.0,0.02%
Spain,Data Coordinator,25,1.0,0.02%
Spain,Clinical Data Abstractor,51,1.0,0.02%
Romania,No Full-Time Job,15,1.0,0.02%
Slovenia,No Full-Time Job,36,1.0,0.02%
Slovenia,No Full-Time Job,26,1.0,0.02%
Slovenia,No Full-Time Job,25,1.0,0.02%
Slovenia,No Full-Time Job,24,1.0,0.02%
Slovenia,No Full-Time Job,20,1.0,0.02%
Romania,No Full-Time Job,24,1.0,0.02%
Slovenia,No Full-Time Job,19,1.0,0.02%
Romania,Data Coordinator,30,1.0,0.02%
Romania,Data Coordinator,28,1.0,0.02%
Portugal,Oracle Database Administrator (Oracle DBA),45,1.0,0.02%
Portugal,No Full-Time Job,59,1.0,0.02%
Spain,Data Entry Representative,65,1.0,0.02%
Spain,Data Entry Machine Operator,45,1.0,0.02%
Spain,Data Entry Machine Operator,40,1.0,0.02%
Spain,Data Entry Machine Operator,36,1.0,0.02%
Portugal,No Full-Time Job,52,1.0,0.02%
Portugal,No Full-Time Job,53,1.0,0.02%
Spain,Data Coordinator,60,1.0,0.02%
Spain,Data Coordinator,28,1.0,0.02%
Spain,Data Coordinator,45,1.0,0.02%
Portugal,No Full-Time Job,61,1.0,0.02%
Spain,Data Coordinator,44,1.0,0.02%
Portugal,No Full-Time Job,62,1.0,0.02%
Portugal,No Full-Time Job,65,1.0,0.02%
Spain,Data Coordinator,42,1.0,0.02%
Slovenia,No Full-Time Job,16,1.0,0.02%
Romania,No Full-Time Job,28,1.0,0.02%
Spain,Data Reviewer,36,1.0,0.02%
Romania,No Full-Time Job,29,1.0,0.02%
Slovakia,No Full-Time Job,20,1.0,0.02%
Slovakia,No Full-Time Job,17,1.0,0.02%
Slovakia,No Full-Time Job,15,1.0,0.02%
Slovakia,No Full-Time Job,14,1.0,0.02%
Romania,No Full-Time Job,46,1.0,0.02%
Romania,No Full-Time Job,48,1.0,0.02%
Slovakia,Geographic Information Systems Data Manager (GIS Data Manager),37,1.0,0.02%
Slovakia,Data Warehouse Analyst,43,1.0,0.02%
Romania,No Full-Time Job,55,1.0,0.02%
Romania,No Full-Time Job,58,1.0,0.02%
Romania,No Full-Time Job,59,1.0,0.02%
Slovakia,Data Scientist,51,1.0,0.02%
Romania,Oracle Database Administrator (Oracle DBA),34,1.0,0.02%
Romania,Oracle Database Administrator (Oracle DBA),39,1.0,0.02%
Slovakia,Data Reviewer,32,1.0,0.02%
Romania,No Full-Time Job,42,1.0,0.02%
Romania,No Full-Time Job,41,1.0,0.02%
Slovakia,No Full-Time Job,23,1.0,0.02%
Slovakia,No Full-Time Job,40,1.0,0.02%
Slovakia,No Full-Time Job,65,1.0,0.02%
Romania,No Full-Time Job,30,1.0,0.02%
Slovakia,No Full-Time Job,61,1.0,0.02%
Slovakia,No Full-Time Job,45,1.0,0.02%
Slovakia,No Full-Time Job,43,1.0,0.02%
Slovakia,No Full-Time Job,41,1.0,0.02%
Romania,No Full-Time Job,35,1.0,0.02%
Romania,No Full-Time Job,38,1.0,0.02%
Slovakia,No Full-Time Job,37,1.0,0.02%
Slovakia,No Full-Time Job,32,1.0,0.02%
Slovakia,No Full-Time Job,26,1.0,0.02%
Slovakia,No Full-Time Job,25,1.0,0.02%
Romania,No Full-Time Job,37,1.0,0.02%
Slovakia,No Full-Time Job,24,1.0,0.02%
Portugal,No Full-Time Job,47,1.0,0.02%
Spain,Data Scientist,23,1.0,0.02%
Sweden,Database Modeler,57,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),59,1.0,0.02%
Spain,No Full-Time Job,56,1.0,0.02%
Poland,Oracle Database Administrator (Oracle DBA),25,1.0,0.02%
Poland,Oracle Database Administrator (Oracle DBA),30,1.0,0.02%
Poland,Oracle Database Administrator (Oracle DBA),40,1.0,0.02%
Poland,Oracle Database Administrator (Oracle DBA),47,1.0,0.02%
Poland,Oracle Database Administrator (Oracle DBA),56,1.0,0.02%
Portugal,Data Coordinator,21,1.0,0.02%
Portugal,Data Coordinator,37,1.0,0.02%
Portugal,Data Coordinator,45,1.0,0.02%
Portugal,Data Coordinator,49,1.0,0.02%
Portugal,Data Coordinator,50,1.0,0.02%
Portugal,Data Coordinator,56,1.0,0.02%
Portugal,Data Entry Machine Operator,50,1.0,0.02%
Portugal,Data Scientist,39,1.0,0.02%
Portugal,Data Scientist,44,1.0,0.02%
Spain,No Full-Time Job,62,1.0,0.02%
Spain,No Full-Time Job,65,1.0,0.02%
Slovakia,Data Scientist,48,1.0,0.02%
Sweden,Data Coordinator,44,1.0,0.02%
Sweden,Database Modeler,25,1.0,0.02%
Sweden,Data Warehouse Analyst,31,1.0,0.02%
Sweden,Data Scientist,41,1.0,0.02%
Sweden,Data Scientist,35,1.0,0.02%
Poland,No Full-Time Job,47,1.0,0.02%
Sweden,Data Entry Representative,15,1.0,0.02%
Sweden,Data Coordinator,42,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),34,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),61,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),59,1.0,0.02%
Poland,No Full-Time Job,51,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),43,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),42,1.0,0.02%
Spain,Oracle Database Administrator (Oracle DBA),37,1.0,0.02%
Portugal,Data Scientist,45,1.0,0.02%
Portugal,Data Scientist,52,1.0,0.02%
Spain,Data Scientist,27,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),54,1.0,0.02%
Spain,Database Modeler,49,1.0,0.02%
Spain,Database Modeler,40,1.0,0.02%
Portugal,No Full-Time Job,33,1.0,0.02%
Portugal,No Full-Time Job,35,1.0,0.02%
Spain,Data Warehouse Analyst,40,1.0,0.02%
Spain,Data Warehouse Analyst,36,1.0,0.02%
Spain,Data Warehouse Analyst,35,1.0,0.02%
Spain,Data Warehouse Analyst,32,1.0,0.02%
Portugal,No Full-Time Job,42,1.0,0.02%
Spain,Data Warehouse Analyst,30,1.0,0.02%
Spain,Data Warehouse Analyst,29,1.0,0.02%
Spain,Data Scientist,51,1.0,0.02%
Spain,Data Scientist,47,1.0,0.02%
Portugal,No Full-Time Job,43,1.0,0.02%
Spain,Data Scientist,35,1.0,0.02%
Portugal,No Full-Time Job,29,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),28,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),30,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),42,1.0,0.02%
Portugal,Data Warehouse Analyst,47,1.0,0.02%
Portugal,Data Warehouse Analyst,54,1.0,0.02%
Portugal,Geographic Information Systems Data Manager (GIS Data Manager),36,1.0,0.02%
Portugal,No Full-Time Job,14,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),45,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),44,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),40,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),34,1.0,0.02%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),38,1.0,0.02%
Portugal,No Full-Time Job,23,1.0,0.02%
Portugal,No Full-Time Job,24,1.0,0.02%
Portugal,No Full-Time Job,25,1.0,0.02%
Portugal,No Full-Time Job,27,1.0,0.02%
Portugal,No Full-Time Job,28,1.0,0.02%
Slovakia,No Full-Time Job,60,1.0,0.02%
Austria,Data Coordinator,45,1.0,0.02%
Netherlands,No Full-Time Job,53,1.0,0.02%
Estonia,No Full-Time Job,28,1.0,0.02%
Estonia,No Full-Time Job,43,1.0,0.02%
Finland,Data Coordinator,24,1.0,0.02%
Finland,Data Coordinator,39,1.0,0.02%
Finland,Data Coordinator,43,1.0,0.02%
Finland,Data Entry Representative,40,1.0,0.02%
Finland,Data Scientist,44,1.0,0.02%
Finland,Geographic Information Systems Data Manager (GIS Data Manager),57,1.0,0.02%
Finland,No Full-Time Job,14,1.0,0.02%
Finland,No Full-Time Job,15,1.0,0.02%
Finland,No Full-Time Job,19,1.0,0.02%
Finland,No Full-Time Job,24,1.0,0.02%
Finland,No Full-Time Job,31,1.0,0.02%
Finland,No Full-Time Job,32,1.0,0.02%
Finland,No Full-Time Job,35,1.0,0.02%
Finland,No Full-Time Job,42,1.0,0.02%
Finland,No Full-Time Job,47,1.0,0.02%
Finland,No Full-Time Job,52,1.0,0.02%
Finland,No Full-Time Job,53,1.0,0.02%
Finland,No Full-Time Job,56,1.0,0.02%
Finland,No Full-Time Job,57,1.0,0.02%
Finland,No Full-Time Job,58,1.0,0.02%
Finland,No Full-Time Job,59,1.0,0.02%
Finland,No Full-Time Job,61,1.0,0.02%
Finland,No Full-Time Job,62,1.0,0.02%
Finland,No Full-Time Job,64,1.0,0.02%
Estonia,No Full-Time Job,30,1.0,0.02%
Estonia,No Full-Time Job,26,1.0,0.02%
Finland,Oracle Database Administrator (Oracle DBA),59,1.0,0.02%
Estonia,No Full-Time Job,22,1.0,0.02%
Czechia,Oracle Database Administrator (Oracle DBA),51,1.0,0.02%
Denmark,Data Coordinator,45,1.0,0.02%
Denmark,Data Coordinator,50,1.0,0.02%
Denmark,Data Scientist,25,1.0,0.02%
Denmark,Data Warehouse Analyst,20,1.0,0.02%
Denmark,Database Modeler,47,1.0,0.02%
Denmark,No Full-Time Job,16,1.0,0.02%
Denmark,No Full-Time Job,18,1.0,0.02%
Denmark,No Full-Time Job,27,1.0,0.02%
Denmark,No Full-Time Job,28,1.0,0.02%
Denmark,No Full-Time Job,36,1.0,0.02%
Denmark,No Full-Time Job,37,1.0,0.02%
Denmark,No Full-Time Job,39,1.0,0.02%
Denmark,No Full-Time Job,43,1.0,0.02%
Denmark,No Full-Time Job,48,1.0,0.02%
Denmark,No Full-Time Job,49,1.0,0.02%
Denmark,No Full-Time Job,52,1.0,0.02%
Denmark,No Full-Time Job,59,1.0,0.02%
Denmark,No Full-Time Job,64,1.0,0.02%
Denmark,Oracle Database Administrator (Oracle DBA),39,1.0,0.02%
Denmark,Oracle Database Administrator (Oracle DBA),41,1.0,0.02%
Denmark,Oracle Database Administrator (Oracle DBA),48,1.0,0.02%
Estonia,No Full-Time Job,14,1.0,0.02%
Estonia,No Full-Time Job,16,1.0,0.02%
Estonia,No Full-Time Job,17,1.0,0.02%
Finland,Oracle Database Administrator (Oracle DBA),35,1.0,0.02%
France,Data Coordinator,21,1.0,0.02%
Czechia,Oracle Database Administrator (Oracle DBA),38,1.0,0.02%
France,Database Modeler,40,1.0,0.02%
France,Database Modeler,50,1.0,0.02%
France,Database Modeler,51,1.0,0.02%
France,Database Modeler,55,1.0,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),32,1.0,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),33,1.0,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),41,1.0,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),43,1.0,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),54,1.0,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),57,1.0,0.02%
France,No Full-Time Job,54,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),19,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),25,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),32,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),34,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),36,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),42,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),44,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),45,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),52,1.0,0.02%
France,Oracle Database Administrator (Oracle DBA),53,1.0,0.02%
Germany,Clinical Data Abstractor,28,1.0,0.02%
Germany,Clinical Data Abstractor,33,1.0,0.02%
Germany,Clinical Data Abstractor,47,1.0,0.02%
Germany,Clinical Data Abstractor,48,1.0,0.02%
Germany,Data Coordinator,19,1.0,0.02%
France,Database Modeler,43,1.0,0.02%
France,Database Modeler,39,1.0,0.02%
France,Data Coordinator,25,1.0,0.02%
France,Data Warehouse Analyst,58,1.0,0.02%
France,Data Coordinator,33,1.0,0.02%
France,Data Coordinator,35,1.0,0.02%
France,Data Coordinator,36,1.0,0.02%
France,Data Coordinator,39,1.0,0.02%
France,Data Coordinator,41,1.0,0.02%
France,Data Coordinator,45,1.0,0.02%
France,Data Coordinator,46,1.0,0.02%
France,Data Coordinator,58,1.0,0.02%
France,Data Entry Machine Operator,34,1.0,0.02%
France,Data Entry Machine Operator,48,1.0,0.02%
France,Data Entry Representative,25,1.0,0.02%
France,Data Entry Representative,41,1.0,0.02%
France,Data Entry Representative,51,1.0,0.02%
France,Data Entry Representative,58,1.0,0.02%
France,Data Scientist,16,1.0,0.02%
France,Data Scientist,21,1.0,0.02%
France,Data Scientist,39,1.0,0.02%
France,Data Scientist,43,1.0,0.02%
France,Data Scientist,48,1.0,0.02%
France,Data Warehouse Analyst,28,1.0,0.02%
France,Data Warehouse Analyst,29,1.0,0.02%
France,Data Warehouse Analyst,35,1.0,0.02%
France,Data Warehouse Analyst,38,1.0,0.02%
France,Data Warehouse Analyst,40,1.0,0.02%
France,Data Warehouse Analyst,51,1.0,0.02%
Czechia,Oracle Database Administrator (Oracle DBA),41,1.0,0.02%
Czechia,No Full-Time Job,64,1.0,0.02%
Netherlands,No Full-Time Job,49,1.0,0.02%
Belgium,Data Scientist,43,1.0,0.02%
Belgium,Data Warehouse Analyst,45,1.0,0.02%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),25,1.0,0.02%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),43,1.0,0.02%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),52,1.0,0.02%
Belgium,No Full-Time Job,15,1.0,0.02%
Belgium,No Full-Time Job,33,1.0,0.02%
Belgium,No Full-Time Job,34,1.0,0.02%
Belgium,No Full-Time Job,35,1.0,0.02%
Belgium,No Full-Time Job,36,1.0,0.02%
Belgium,No Full-Time Job,38,1.0,0.02%
Belgium,No Full-Time Job,39,1.0,0.02%
Belgium,No Full-Time Job,40,1.0,0.02%
Belgium,No Full-Time Job,41,1.0,0.02%
Belgium,No Full-Time Job,49,1.0,0.02%
Belgium,No Full-Time Job,59,1.0,0.02%
Belgium,No Full-Time Job,62,1.0,0.02%
Belgium,Oracle Database Administrator (Oracle DBA),48,1.0,0.02%
Bulgaria,Data Coordinator,38,1.0,0.02%
Bulgaria,Database Modeler,38,1.0,0.02%
Bulgaria,Database Modeler,41,1.0,0.02%
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),25,1.0,0.02%
Bulgaria,No Full-Time Job,16,1.0,0.02%
Bulgaria,No Full-Time Job,17,1.0,0.02%
Bulgaria,No Full-Time Job,21,1.0,0.02%
Bulgaria,No Full-Time Job,26,1.0,0.02%
Belgium,Data Scientist,50,1.0,0.02%
Belgium,Data Scientist,21,1.0,0.02%
Bulgaria,No Full-Time Job,29,1.0,0.02%
Belgium,Data Scientist,20,1.0,0.02%
Austria,Data Entry Representative,35,1.0,0.02%
Austria,Database Modeler,29,1.0,0.02%
Austria,Geographic Information Systems Data Manager (GIS Data Manager),47,1.0,0.02%
Austria,No Full-Time Job,18,1.0,0.02%
Austria,No Full-Time Job,19,1.0,0.02%
Austria,No Full-Time Job,21,1.0,0.02%
Austria,No Full-Time Job,22,1.0,0.02%
Austria,No Full-Time Job,23,1.0,0.02%
Austria,No Full-Time Job,24,1.0,0.02%
Austria,No Full-Time Job,28,1.0,0.02%
Austria,No Full-Time Job,32,1.0,0.02%
Austria,No Full-Time Job,33,1.0,0.02%
Austria,No Full-Time Job,34,1.0,0.02%
Austria,No Full-Time Job,37,1.0,0.02%
Austria,No Full-Time Job,38,1.0,0.02%
Austria,No Full-Time Job,39,1.0,0.02%
Austria,No Full-Time Job,40,1.0,0.02%
Austria,No Full-Time Job,41,1.0,0.02%
Austria,No Full-Time Job,46,1.0,0.02%
Austria,No Full-Time Job,51,1.0,0.02%
Austria,No Full-Time Job,52,1.0,0.02%
Austria,No Full-Time Job,58,1.0,0.02%
Austria,No Full-Time Job,61,1.0,0.02%
Belgium,Data Coordinator,40,1.0,0.02%
Belgium,Data Entry Representative,54,1.0,0.02%
Bulgaria,No Full-Time Job,27,1.0,0.02%
Bulgaria,No Full-Time Job,33,1.0,0.02%
Czechia,No Full-Time Job,63,1.0,0.02%
Croatia,No Full-Time Job,56,1.0,0.02%
Cyprus,No Full-Time Job,30,1.0,0.02%
Cyprus,No Full-Time Job,39,1.0,0.02%
Cyprus,No Full-Time Job,50,1.0,0.02%
Czechia,Data Coordinator,53,1.0,0.02%
Czechia,Data Entry Machine Operator,41,1.0,0.02%
Czechia,Data Scientist,38,1.0,0.02%
Czechia,Data Warehouse Analyst,20,1.0,0.02%
Czechia,Data Warehouse Analyst,45,1.0,0.02%
Czechia,Geographic Information Systems Data Manager (GIS Data Manager),62,1.0,0.02%
Czechia,No Full-Time Job,15,1.0,0.02%
Czechia,No Full-Time Job,17,1.0,0.02%
Czechia,No Full-Time Job,18,1.0,0.02%
Czechia,No Full-Time Job,19,1.0,0.02%
Czechia,No Full-Time Job,27,1.0,0.02%
Czechia,No Full-Time Job,28,1.0,0.02%
Czechia,No Full-Time Job,33,1.0,0.02%
Czechia,No Full-Time Job,34,1.0,0.02%
Czechia,No Full-Time Job,36,1.0,0.02%
Czechia,No Full-Time Job,41,1.0,0.02%
Czechia,No Full-Time Job,46,1.0,0.02%
Czechia,No Full-Time Job,55,1.0,0.02%
Czechia,No Full-Time Job,57,1.0,0.02%
Czechia,No Full-Time Job,58,1.0,0.02%
Czechia,No Full-Time Job,60,1.0,0.02%
Czechia,No Full-Time Job,61,1.0,0.02%
Croatia,No Full-Time Job,60,1.0,0.02%
Croatia,No Full-Time Job,48,1.0,0.02%
Bulgaria,No Full-Time Job,35,1.0,0.02%
Croatia,No Full-Time Job,45,1.0,0.02%
Bulgaria,No Full-Time Job,38,1.0,0.02%
Bulgaria,No Full-Time Job,39,1.0,0.02%
Bulgaria,No Full-Time Job,42,1.0,0.02%
Bulgaria,No Full-Time Job,54,1.0,0.02%
Bulgaria,No Full-Time Job,56,1.0,0.02%
Bulgaria,No Full-Time Job,58,1.0,0.02%
Bulgaria,No Full-Time Job,61,1.0,0.02%
Croatia,Clinical Data Abstractor,33,1.0,0.02%
Croatia,Data Coordinator,54,1.0,0.02%
Croatia,Database Modeler,42,1.0,0.02%
Croatia,Database Modeler,44,1.0,0.02%
Croatia,Geographic Information Systems Data Manager (GIS Data Manager),28,1.0,0.02%
Croatia,Geographic Information Systems Data Manager (GIS Data Manager),44,1.0,0.02%
Croatia,No Full-Time Job,15,1.0,0.02%
Croatia,No Full-Time Job,17,1.0,0.02%
Croatia,No Full-Time Job,18,1.0,0.02%
Croatia,No Full-Time Job,19,1.0,0.02%
Croatia,No Full-Time Job,25,1.0,0.02%
Croatia,No Full-Time Job,27,1.0,0.02%
Croatia,No Full-Time Job,30,1.0,0.02%
Croatia,No Full-Time Job,31,1.0,0.02%
Croatia,No Full-Time Job,32,1.0,0.02%
Croatia,No Full-Time Job,37,1.0,0.02%
Croatia,No Full-Time Job,40,1.0,0.02%
Croatia,No Full-Time Job,42,1.0,0.02%
Germany,Data Coordinator,30,1.0,0.02%
Germany,Data Coordinator,31,1.0,0.02%
Germany,Data Coordinator,33,1.0,0.02%
Italy,Data Entry Machine Operator,63,1.0,0.02%
Austria,Data Coordinator,46,1.0,0.02%
Italy,Data Entry Representative,42,1.0,0.02%
Italy,Data Scientist,18,1.0,0.02%
Italy,Data Scientist,27,1.0,0.02%
Italy,Data Scientist,29,1.0,0.02%
Italy,Data Scientist,30,1.0,0.02%
Italy,Data Scientist,32,1.0,0.02%
Italy,Data Scientist,33,1.0,0.02%
Italy,Data Scientist,38,1.0,0.02%
Italy,Data Scientist,39,1.0,0.02%
Italy,Data Scientist,45,1.0,0.02%
Italy,Data Scientist,47,1.0,0.02%
Italy,Data Warehouse Analyst,26,1.0,0.02%
Italy,Data Warehouse Analyst,34,1.0,0.02%
Italy,Data Warehouse Analyst,41,1.0,0.02%
Italy,Data Warehouse Analyst,42,1.0,0.02%
Italy,Data Warehouse Analyst,48,1.0,0.02%
Italy,Data Warehouse Analyst,51,1.0,0.02%
Italy,Database Modeler,42,1.0,0.02%
Italy,Database Modeler,44,1.0,0.02%
Italy,Database Modeler,47,1.0,0.02%
Italy,Geographic Information Systems Data Manager (GIS Data Manager),20,1.0,0.02%
Italy,Geographic Information Systems Data Manager (GIS Data Manager),25,1.0,0.02%
Italy,Geographic Information Systems Data Manager (GIS Data Manager),36,1.0,0.02%
Italy,Geographic Information Systems Data Manager (GIS Data Manager),47,1.0,0.02%
Italy,Data Entry Representative,34,1.0,0.02%
Italy,Data Coordinator,57,1.0,0.02%
Italy,Geographic Information Systems Data Manager (GIS Data Manager),59,1.0,0.02%
Italy,Data Coordinator,48,1.0,0.02%
Ireland,No Full-Time Job,22,1.0,0.02%
Ireland,No Full-Time Job,25,1.0,0.02%
Ireland,No Full-Time Job,26,1.0,0.02%
Ireland,No Full-Time Job,29,1.0,0.02%
Ireland,No Full-Time Job,31,1.0,0.02%
Ireland,No Full-Time Job,34,1.0,0.02%
Ireland,No Full-Time Job,39,1.0,0.02%
Ireland,No Full-Time Job,40,1.0,0.02%
