uuid,awareness,vote,effect,arguments_for,arguments_against
df839910-d94b-0133-8b4a-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is impossible to finance | Only the people who need it most should get something from the state | It might encourage people to stop working
f3b73aa0-da6b-0133-7888-0a81e8b09a82,I have never heard of it,I would probably vote for it,Spend more time with my family,"It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working
e8d430f0-d9d4-0133-d1c8-0a81e8b09a82,I have never heard of it,I would probably vote for it,None of the above,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working
8a65ee50-d8bb-0133-0863-0a81e8b09a82,I have heard just a little about it,I would vote for it,Work less,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
933554e0-d941-0133-c605-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
15b500b0-da18-0133-a4e4-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
519c2f90-da48-0133-3a59-0a81e8b09a82,I have never heard of it,I would probably vote against it,Do more volunteering work,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity",It increases dependence on the state | Only the people who need it most should get something from the state | It is impossible to finance
a52f3220-dcb3-0133-7ce4-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
d60f3330-da2a-0133-413d-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | Only the people who need it most should get something from the state
b9e1b320-d8ed-0133-3ba2-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
942f9d80-da4c-0133-5625-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It creates more equality of opportunity,It is against the principle of linking merit and reward
93f89180-d8ec-0133-ae96-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
8fe2b960-da17-0133-a2b2-0a81e8b09a82,I have never heard of it,I would probably vote against it,None of the above,None of the above,It increases dependence on the state
d3673ad0-d9bf-0133-c662-0a81e8b09a82,I know something about it,I would probably vote against it,None of the above,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
e5694000-d9b0-0133-ff0c-0a81e8b09a82,I have never heard of it,I would vote against it,Spend more time with my family,It reduces bureaucracy and administrative expenses,It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
a210cdb0-d935-0133-b83f-0a81e8b09a82,I have never heard of it,I would probably vote against it,Look for a different job,None of the above,It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward
eec63e90-da23-0133-ef4e-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,It creates more equality of opportunity | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
c4451b50-d977-0133-0c2f-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance
6d4d43d0-d8ce-0133-673f-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
619bbc90-d8e7-0133-becf-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
06c94d70-d8b8-0133-0272-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
fb572170-da45-0133-ece9-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It is against the principle of linking merit and reward | It increases dependence on the state | It might encourage people to stop working
2dd0fc10-d8e7-0133-be33-0a81e8b09a82,I know something about it,I would vote against it,Work less,It creates more equality of opportunity,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance
197fc4b0-da20-0133-fe0a-0a81e8b09a82,I have heard just a little about it,I would vote for it,Look for a different job,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
41876400-da51-0133-be1c-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
b5e895f0-d9f7-0133-03ee-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It increases dependence on the state | It is impossible to finance
753edd50-da50-0133-ad41-0a81e8b09a82,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
7f7c5420-d910-0133-c7b5-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working
c2acf620-da26-0133-6bec-0a81e8b09a82,I have never heard of it,I would not vote,Work less,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance
a1665a00-d948-0133-18c2-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
126313a0-d8ab-0133-6ae2-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Look for a different job,None of the above,None of the above
3daf7e30-d8e7-0133-be69-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state | Only the people who need it most should get something from the state
777c7c00-d967-0133-71ec-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
9f0407c0-d9b3-0133-2d25-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state
449f53f0-dcb4-0133-8043-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
ef5bd210-d8e7-0133-c062-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | It increases dependence on the state
c7a427c0-da46-0133-0e5a-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | It might encourage people to stop working
e9afee70-da3d-0133-c9db-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state | It might encourage people to stop working
eac29720-d95a-0133-5f17-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Spend more time with my family,It creates more equality of opportunity,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
6ff50c50-da4a-0133-f48b-0a81e8b09a82,I have never heard of it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity,Only the people who need it most should get something from the state
68ad8220-da24-0133-f178-0a81e8b09a82,I know something about it,I would vote against it,Work less,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working
6e38af70-dcbb-0133-158b-0a81e8b09a82,I have never heard of it,I would vote for it,Work as a freelancer,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
354a9d30-d97e-0133-f1a8-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Only the people who need it most should get something from the state
4fe01100-d8d0-0133-569d-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Do more volunteering work,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,It is impossible to finance
4b9c6fa0-d94e-0133-56d4-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state | It might encourage people to stop working
9ccaa300-da2b-0133-4798-0a81e8b09a82,I have never heard of it,I would probably vote for it,Do more volunteering work,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
543f43c0-da39-0133-5616-0a81e8b09a82,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
dfc4ecc0-d944-0133-54ce-0a81e8b09a82,I have never heard of it,I would vote against it,Work less,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
77d42c00-d9b9-0133-db3d-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
cc7096f0-d93b-0133-be55-0a81e8b09a82,I have heard just a little about it,I would vote against it,Work less,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
c3d9e350-d987-0133-3f06-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Work less,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
698c93b0-d969-0133-78a1-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
f606f2c0-d971-0133-f567-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward
eb9d36d0-d969-0133-7a47-0a81e8b09a82,I have heard just a little about it,I would not vote,Look for a different job,"It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
e70f45d0-db20-0133-0b89-0a81e8b09a82,I know something about it,I would not vote,Work as a freelancer,None of the above,None of the above
f28f1860-dba4-0133-234a-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
b8cac570-d96c-0133-1c90-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
8f6f49c0-da77-0133-7a89-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,It creates more equality of opportunity,It might encourage people to stop working
86fd5b60-da3a-0133-dccf-0a81e8b09a82,I have never heard of it,I would probably vote for it,Spend more time with my family,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
a5a04dc0-df33-0133-7737-0a81e8b09a82,I have never heard of it,I would not vote,Gain additional skills,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
3d1fab10-d992-0133-627f-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,None of the above,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Only the people who need it most should get something from the state | It might encourage people to stop working
92fab610-da27-0133-6f8a-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
f3f84a20-dca3-0133-b099-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
6a23b380-db05-0133-63f8-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
9fb1d560-df25-0133-b729-0a81e8b09a82,I have never heard of it,I would probably vote against it,Spend more time with my family,It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It increases dependence on the state
7d4be760-def8-0133-adc6-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work less,It creates more equality of opportunity,It is impossible to finance
5a8e07b0-d978-0133-0df7-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Do more volunteering work,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It increases appreciation for household work and volunteering",It might encourage people to stop working | It increases dependence on the state
997bad20-da37-0133-7da3-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It creates more equality of opportunity,It is against the principle of linking merit and reward
45706440-da50-0133-c5d4-0a81e8b09a82,I have heard just a little about it,I would not vote,Gain additional skills,It encourages financial independence and self-responsibility,It is impossible to finance
00ebad10-da19-0133-a828-0a81e8b09a82,I know something about it,I would not vote,None of the above,It encourages financial independence and self-responsibility,None of the above
926f9250-db0d-0133-d284-0a81e8b09a82,I have never heard of it,I would vote for it,Work as a freelancer,"It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It increases appreciation for household work and volunteering",It is impossible to finance | It increases dependence on the state
72a48100-da38-0133-487f-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,It creates more equality of opportunity,It might encourage people to stop working
5329b030-d99c-0133-b04f-0a81e8b09a82,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward
50034b00-d90a-0133-a5e3-0a81e8b09a82,I know something about it,I would vote against it,Work less,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
8d7d6420-dc03-0133-856e-0a81e8b09a82,I know something about it,I would vote for it,Look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working
d9a5f7a0-da3d-0133-c982-0a81e8b09a82,I have heard just a little about it,I would vote for it,Spend more time with my family,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
a5f22940-da62-0133-3a08-0a81e8b09a82,I know something about it,I would probably vote for it,Look for a different job,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
6256a6a0-d961-0133-7e9a-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working
4ce73790-d980-0133-1004-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Stop working,It reduces anxiety about financing basic needs,It might encourage people to stop working
39d36c20-d98d-0133-f1df-0a81e8b09a82,I have never heard of it,I would vote for it,Work as a freelancer,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs",It increases dependence on the state
32588fd0-d8de-0133-5dc5-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance
709bb380-d8e2-0133-b610-0a81e8b09a82,I know something about it,I would probably vote against it,Look for a different job,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
c6c5bc90-d8fe-0133-c07a-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
1f463ff0-d9ae-0133-8d7a-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It increases dependence on the state
33a4bd30-d97d-0133-0b6d-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
5c4c2ed0-d8c1-0133-c39f-0a81e8b09a82,I have heard just a little about it,I would vote for it,Work less,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
ab58f000-d961-0133-ce40-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It is impossible to finance
03926a40-da13-0133-951a-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
2d3b4850-d98a-0133-a022-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | It increases dependence on the state
9be1c2b0-dcb6-0133-6afe-0a81e8b09a82,I know something about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance
8099d290-da4d-0133-7843-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
ec78d480-db70-0133-4cf5-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
980bf1e0-d999-0133-1842-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state
71e87bb0-d933-0133-4163-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward
05fb4b60-d9ac-0133-1e6f-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
75f54440-d8e9-0133-c470-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,None of the above,None of the above
53217ef0-d8fd-0133-bdc8-0a81e8b09a82,I know something about it,I would vote for it,Work as a freelancer,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",None of the above
c59b8920-d8cc-0133-6278-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state
39d58970-dc13-0133-8a1e-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Only the people who need it most should get something from the state
1ed4fe80-db76-0133-556d-0a81e8b09a82,I understand it fully,I would vote for it,Do more volunteering work,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
111b62f0-d96e-0133-0497-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,It creates more equality of opportunity,It might encourage people to stop working
d8337910-dc34-0133-6f2d-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state
d04c5190-d9b2-0133-18bf-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
d3c768d0-d9fb-0133-0c46-0a81e8b09a82,I have heard just a little about it,I would vote for it,Look for a different job,It creates more equality of opportunity,It might encourage people to stop working
4753d800-d8cc-0133-611e-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It encourages financial independence and self-responsibility",None of the above
125dce10-da36-0133-f66d-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Gain additional skills,It reduces bureaucracy and administrative expenses,It is impossible to finance
de370cd0-d9a5-0133-53b5-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
28561640-d8d6-0133-678b-0a81e8b09a82,I understand it fully,I would vote for it,Work as a freelancer,"It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
1681aa20-d962-0133-d013-0a81e8b09a82,I have never heard of it,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | It is impossible to finance
32329cc0-da25-0133-64fa-0a81e8b09a82,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,None of the above
cd3a3c60-dc20-0133-dec4-0a81e8b09a82,I understand it fully,I would vote for it,Do more volunteering work,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
31a78d70-d8ef-0133-1097-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
013a2aa0-dc77-0133-387e-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
eb069fd0-d99d-0133-94cf-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | Only the people who need it most should get something from the state
1ddeb830-d97c-0133-071b-0a81e8b09a82,I have never heard of it,I would vote for it,Spend more time with my family,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
21b2ccb0-da1c-0133-ef13-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",None of the above
ea0e70e0-dcb2-0133-98ea-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,None of the above
004406e0-dcb3-0133-995f-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work as a freelancer,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
751d8ed0-d977-0133-0b28-0a81e8b09a82,I have heard just a little about it,I would vote against it,None of the above,None of the above,It is impossible to finance | It increases dependence on the state
4797ed80-d95e-0133-7730-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state
7d6cda40-d98a-0133-a190-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
4797b590-d973-0133-fa01-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
7f967a00-d964-0133-453f-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
169eb9c0-d969-0133-778f-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
a9d80d60-dcb2-0133-9762-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It creates more equality of opportunity,Only the people who need it most should get something from the state | It might encourage people to stop working
32246980-d8df-0133-6155-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
